rhyme scheme	stanza
ABCDCDEEFFGG	"Svaret som et gledesveld
toner gjennom Jesu sjel.
Og det har kun én forklaring:
det er ei naturens verk.
men hans Faders åpenbaring.
«Peterl Du er klippen sterk.
Riket vil på deg jeg bygge,
som ei helvete selv kan rygge!»
«Riket! Riketl!l Ordet lokker
dem som klang av tusen klokker .
«Før oss kun til stridens vover,
vi for riket alt deg lover!"
ABACBC	"Mesteren med vemod skuer
de få menn med modig panne.
Ti han frykter kraftens luer
— denne sterke seiersgløden
snart er svakhets slukte branne.
Rikets vei — akk det er døden."
AABB	"Første gang om kors og død
denne dag hans tale lød.
Akk, i deres varme bringe
sank det som en slepen klinge."
AABCBC	"Lide?2 Drepes? Er det Kronen?
Er det kongens vei til tronen?
Mildt og skånsomt han forsøker
vise dem, det m å så skje.
Derved dog han kun forøker
deres jammers dype ve."
ABBACDCD	"Rider dem en redsom mare?
Piner dem en heslig drøm?
— Han som er så god og øm,
fanges skal av dødens snare?
Nei, i denne smertes elv
måtte alle gå til grunne.
Peter roper:  Spar deg selv !
Dette skje deg ingenlunde!"
ABCC	"Du vil ned i graven stige,
som skal reise Davids rike?»
Jesus skjelver. Hvilken makt
er i denne tale lagt !"
TABAB	"MORGEN MOT RUSSLANDS GRENSE
Jeg kommer fra dagen igår,
fra vesten, fra fortidens land.
Langt fremme en solstripe går
mot syd. Det er morgenens rand."
ABAB	"I jubel flyr toget avsted.
Se grensen! En linje av ild.
Bak den er det gamle brendt ned.
Bak den er det nye blitt til."
ABAB	"Jeg føler ftorventningens sang
i hjertets urolige slag.
Så skulle jeg også engang
få møte den nye dag!"
TIIABCB	"AMBARVALIA
Linjer skrevet i den tro at den gamle romerske minnefest for de døde ble kalt Amboarvalia.
Av Rupert Brooke.
Enn går min vei i dal og på hei
og verden er sang og spill!
Så fjern hun er, men så kjær, så kjær,
min elskte er sterk og mild!"
ABCB	"Å, tross de år og de mil som skiller,
og tross vår lodd og vår del,
husker jeg alt, og vandrer
med latter i min sjel!"
ABCB	"Bort fra hver pusling som intet forstår,
går jeg mot berget avsted,
hvor solen tindrer; og jeg erindrer;
og ser at en dag går ned."
ABCBDEFE	"Gull er mitt hjerte, og verden er gyllen,
en fjelltopp er kysset av lys,
men luften er stille om bergets topp
med skumringens første gys,
til mørket stryker den dødsstille dal,
på larmende, mystisk fangst,
og vinden blåser og lyset går,
og natten er full av angst!"
ABCBDACA	"Og jeg vet at en natt på et annet fjell
i et sprog som jeg ikke kjenner,
hører jeg engang et bud fra deg
fra dem som var dine venner:
Jorden og himlen og blesten skal
si det fra fjell til fjell,
uten trøst og i mørke; og jeg
vet du er død den kveld."
ABCB	"Jeg går ikke til din messe,
jeg blir ikke gravølets gjest.
Din slekt vil sikkerlig vite sin plikt
og sørge ved dødens fest."
ABCB	"De vil rose alt som var dårlig
og glemme alt godt ved deg,
og undres hvorledes det hele skal gå,
og så vil de gå sin vei!"
ABCB	"Men stillere enn en sovende
og fremmed og fjern å se
røres du ikke av gråten;
at det er kaldt hva gjør det»"
ABCB	"Leppene vil ikke le den natt,
hendene flyttes ei vekk.
Og endelig ligger ditt hår i ro
omkring de stivnede trekk!"
ABCB	"Med snøfting og snusing og lommeduk
og sømmelig sorg i kor,
med vin og med skinke, blir de nok flinke
å senke en dronning på jord."
ABCB	"Deres døde små hjerter vil gå uten sorg
og følge ditt ensomme ritt.
Et høyt og et modig og levende hjerte
visste de aldri var ditt."
ABCB	"Jeg vil ikke gå til din messe,
til mat og til drikkevarer,
jeg vil ikke si deres løgne om død
til den døde som ikke svarer."
ABCB	"Men snøfting og snusing og lommeduk
vil de gi deg til muldens natt.
Og så går de kolde og undrende hjem.
Og ormene vil ta fatt."
ABCB	"Men, leende, halvveis mot himlen,
hvor blesten går til og fra,
blandt stjernene kolde, der vil jeg holde
din Ambarvalia!"
TABCB	"DØDINGBUKTEN
mellom buktens klipper
i det harde sand
strider nypetornen
vilt med vind og vann."
ABCD	"Krattet favner grådig
om en gammel røys.
Brottet har dog nådd den,
sten på sten er løs."
ABCB	"Det er Dødingbukten,
hvor en natt man fant
liket av en fremmed
mellom knekter spant."
ABCB	"Her ble han begravet
under stenens vekt;
og med ville roser
redslen ble dekt."
TABAB	"FJELLSANG
Når du vil på fjellesti
og skal nisten snøre,
legg så ikke merci
enn du lett kan føre!"
ABAB	"Drag ei med deg dalens tvang
i de grønne lider,
skyll den i en freidig sang
ned ad fjellets sider!"
ABAC	"Fugler hilser deg fra gren,
bygdesnakket viker,
luften blir mere ren,
høyere du stiger."
ABAB	"Fyll dit glade bryst og syng,
og små barneminner
nikke vil blant busk og lyng
frem med røde kinner."
ABAB	"Stanser, lytter du engang,
vil du få høre
ensomhedens store sang
bruse til dit øre."
ABAC	"Straks en fjellbek risler kvikt,
straks en småsten ruller,
føres hit din glemte plikt
med en verdens bulder."
ABAB	"Bev, men bed, du bange sjel,
mellom dine minner!
Gakk så frem: den bedre del
du på toppen finner."
ABAB	"Der, som før, går Jesus Krist
med Elias, Moses:
ser du dem, skal ganske visst
farten evig roses."
TAABBCC	"BØLGEN
Jeg er bølgen og jeg går min gang
over havet som et lys, en sang,
i meg selv begravet, av meg selv oppstanden,
mellom jordens strand og himmelranden,
gjennom lys og skygge
som en stjernevei, en himmelbrygge"
ABAC	"Snart er livet borte,
hun smykkes atter ut.
Den dag er alle sorte,
da er hun dødens brud."
ABAB	"To er brudens kjoler
av verdensveven gjort.
vår evighets symboler
er bare hvitt og sort."
AABB	"Bak klippeveggen i mektig bønn
seg bøyer den ensomme Menneskesønn.
Hans kinn er blekt av den faste så lang,
hans fot er trett av den tunge gang."
AAB	"Men hellig lue i øyet brenner,
mens opp mot himlen han rekker hender:
«Din søn n! dere hvem du har velbehag"
ABCC	"Da treder i skinnende kongeskrud
den falne hersker fra helvete ut.
Enn er hans skikkelse stolt og rank,
som før han fra himlens egne sank."
AAB	"Men øyet i hat og hevntørst skuler,
mens opp fra helveds pestfylte huler
han kaller til kamp sin skumle hær."
AABB	"Nå er han kommet, den sterke Krist,
med lysets våpen mot mørekets list.
Og nå de stander til kamp bered,
den treske slange og kvinnens sæd."
AAB	"De kles i panser og lar seg væpne,
nå strid skal føres om slektens skjebne.
Hvem seiren vinner, det ingen vet."
ABBCDE	"Han hungrer.
Velan, la meg prøve
hans skjold å røve:
den tro, at hans Gud
av hungerens kval
vil hjelpe ham ut."
AABBCC	"Med vennlige miner 
jeg mot ham triner, 
og med høtfligst smil
en tvilens pil
jeg skyter inn
i hans rene sinn."
ABBCDED	"Og får først den
i hans barm jeg listet,
så har han mistet
sitt styrkebelte 
så har han tapt,
og lyder villig
den han har skapt."
ABCB	"«Si, er du Guds sønn,
i hvem han har behag,
hvorfor da pines
av hungers nag?"
ABCDCCEDC	"Du ser disse stener?
Hvem vil deg formene
i hungers nød
av disse å skape
nødtørftig brød
Brød!
Når sulten brenner,
slikt ord for øret
aldri lød."
ABCB	"Men Jesus kjenner
den ondes snarer:
avkreftet og matt,
dog sterk han svarer"
ABCDEFE	"«Skrevet det står:
Ei mennesket lever
av brød alene;
men fra Guds munn
går ut den føde
som atter i sjelen
lar livet gløde.»"
AABBCDBEFGB	"«Der står skrevet?
«Der står skrevet!»
Som en klinge
dette ringe
ord meg rammet.
Samme våpen
vil jeg svinge
og tilbake
vil jeg gi ham
samme hugget
i hans bringe."
AABBCD	"Til den høye tempeltinde
mens de lette forårsvinne
gjennom luftens bueganger
suser sine milde sanger
til den høye tinde stiger
fyrstene for tvende riker:"
AABBCCDD	"Han som leder ondskaps makter
og med løgnens fule fakter
vilt og vidt urolig stirrer,
mens hans tanker rotløst virrer, —
Han, hvem himlens rene hære
evig synger: ære være
og som går de steile spor
høy og trygg og kongestor."
AABBCC	"Under dem i dype slukter
bekken Kedron frem seg bukter
og den travle stadens vrimmel
o v er dem den lyse himmel
hvelver seg, mens solen skinner
varmt og skjært på fjerne tinder."
AABBCC	"«Ser du disse dype dale?»
sådan faller Satans tale;
«hvis du er Guds sønn, den kjære,
vil for deg det småting være
ned fra tindens spiss, den faste,
deg i dette dyp å kaste."
ABCCB	"Reddes ei! Ti der står skrevet —
Straks den Evige befaler
engler deg på sterke hender
bære, hvor du enn deg vender,
over berg og over daler."
ABBA	"Intet skal deg gjøre men,
ingen fare deg skal finne,
ei din fot du noensinne
støte skal på minste sten."
ABACCDD	"Gruble ei! Betenk din vinning:
d a ditt folk deg straks vil binde
kongekransen om din tinning.
Høy og rolig Jesus svarer :
«Vel jeg vet meg Gud bevarer,
når jeg vandrer pliktens vei,
men på egne veier ei."
AABB	"Hør meg! Der er atter skrevet
det av Herren selv er krevet
som hans viljes klare bud:
Du skal ikke friste Gud.»"
AABB	"«Ei heller dette hjalp. Hvor han er sikker!
Hvor ydmykt han i alt seg skikker!
På ny jeg tapte, alt gikk opp i røk:
men enn en dyst jeg vover  et forsøk."
ABCCDD	"Han falle må hans makt må brytes;
ti jeg vil herske jeg vil lydes.
Et knefall? — Han sitt kne skal bøye!
Da er han solgt, den sterke, høye!
Men hvordan? Hvordan tvinge ham dertil?
Det må dog skje; Diabolus det vil."
AABBCC	"Min plan er lagt: Frem for hans blikk jeg tryller
den prakt og herlighet som jorden fyller.
Jeg viser ham de grødesvangre marker,
og rosers hegn, og skyggefulle parker,
med klang av serenaders melodi
og skjønne harmoniers trylleri."
AABBCCDD	"Og slotter, borger, gull og festers glede
skal for hans øye straks i glans fremtrede.
Jeg viser ham de gylne maktens kroner 
og herskerspir, og høye kongetroner; 
jeg kogler frem all verdens prakt og glans,
så sløres skal hans klare dømmesans.
Så vil han villig knele på mitt bud
ti denne storhet dårer selv en  Gud.»"
ABB	"De står deroppe.
Straks skjønnere syner
for hans øye lyner."
ABACDED	"Mett nå ditt øye
og på mitt ord
bør du akte nøye:
For dette rike
du jo vil kjempe,
u kan du vinne det
så lett med lempe;"
ABABACDCEFGFH	"nå kan du spare deg
det lite sikre slag,
ti alt jeg skjenker deg
foruten vederlag,
kun at du viser meg
den ringe heder,
at kne du bøyer
og meg derom beder 
Da løfter han sin hånd,
den Evighøye;
som lynet flammer
glansen fra hans øye:
«Vik fra meg, Satan!"
ABACDCD	"Ti Gud alene
— så skrevet står
skal du tilbe og tjene
Hør det sus
av englevinger
Hør det brus,
i luften ringer!"
ABABCCBD	"Hør den lyd
av åndehære !
Hør den fryd
av: Ære være
Krist har vunnet,
helvete er bundet !
Evig ære
være Gud !"
TABAB	"BRUDEN
Nå er bruden smykket
som jordens unge vår.
Den grønne krans er trykket
om panne og om hår."
ABAB	"Om den fine midje
til slutt er beltet spent.
Slik står den smale vidje,
mot livets løfter vendt."
ABAB	"Se hvor skjært det lyser
ved hvert av hennes skritt!
Og barn i hvite kyser!
Idag er allting hvitt."
AABBCD	"Mann til mann rundt byen bærer
ryktet om den nye lærer.
Synagogens søylegange
snart ei rumme kan de mange
som fra gyder, smug og gater
strømmer sammen for å høre."
AABCDDCCEED	"Men der samles ikke bare
en begeistret venneskare —
som en bisverm, som et krater
syder mengden.  Mørke miner,
her og der en løftet finger,
øgiekast som blink av klinger,
hånsord, rop og spørsmål hviner
om den frafalne rabbiner,
som dog enn med vise, sunde
ord, og sterke, klare grunne
deres lidenskap betvinger."
AABCCBDEED	"Men hvor lenge? Maktens menn
spenner sverdet ei fra lend
før de har av seier kjenning.
Heller ei som jaget fugl
kryper Saulus redd i skjul.
Trygg han føler kampens spenning,
uten tvil om seirens krans.
Alt for godt han kampen kjenner,
fienden er hans egne frender,
deres mål var engang hans."
AABCBC	"Dag for dag på stridens skanse
svinger han sin blanke lanse.
Troens glød i øyet funkler,
takkens sang i hjertet toner,
hat og hån ei mer fordunkler
ham, som troens dagverk kroner."
TABAB	"SETT I EN STEN
Jeg tar en sten i hånden,
en glattslipt ametyst,
og gjennom den ser jeg i ånden
alle tider på denne kyst."
ABAB	"Millioner av år er rundet
siden den lagdes her,
men de hviler tryllebundet
i dette havblå skjær."
ABAB	"Bølgene går derinne,
og fugler flyver omkring;
igjennom brottets tinde
skjærer en måkeving."
ABCB	"Lyset er tørst etter menneskenes sved,
rommet er sultent på skrik.
Talløse tunger roper på brød,
og havet roper på lik."
TAABB	"DULGT KJÆRLIGHET
Han tverr over benkene hang;
hun lystig i dansen seg svang.
Hun lekte, hun lo
med én og med to;"
AABB	"hans hjerte var nær ved å briste.
Men det var der ingen som visste.
Hun gikk bak ved låven en kveld,
han kom for å sige farvel."
AABB	"Hun kastet seg ned,
hun gret og hun gret,
sitt livs-håp, det skulle hun miste.
Men det var der ingen som visste."
AABBCC	"Ham tiden falt fryktelig lang.
Så kom han tilbake en gang.
Hun hadde det godt;
hun fred hadde fått;
hun tenkte på ham i det siste.
Men det var der ingen som visste."
ABAB	"Han har søkt deg sårt og lenge.
Han har funnet deg, sitt får.
Stemmer alle gledens strenge,
Jesus hjem med sjelen går."
AABCDD	"Syng: Velkommen her tilbake!
Frykt deg ikke, usle, svake
Ingen skal fra ham deg drage.
Han vil læge dine sår.
Og de begynte å være glade
De begynte å være glade."
TAABB	"FRIDTJOF NANSEN
En mann stod opp. En lysning falt
som is og flammer over alt.
Ham kjendte vil Så korstog-ren,
så høvdingsterk var bare en."
ABAB	"Her speidet lengtende et land,
da steg han frem av mørkets tid,
og lyset var en baunens brann:
Stå opp og strid!"
AABB	"Å norske ungdom - følg ham frem!
Stå opp til stridl Til strid mot hvem?
Det vet vi jo: I dåd og skrift
her mørkner hat, her tærer gift."
ABAB	"Så saml oss da! vi er parat
Hans isblikk vender seg og ser:
Den som er god, skal hate hat,
og ingen fler."
AABB	"Det er til større strid enn den,
han kaller våre unge menn.
Det er til strid mot eget sinn
hans flammesverd har vidd oss inn."
ABAB	"Hans liv skal blende vårt, som skam
i sorg og lengsel skal vi si:
Vi kjender ham, vi elsker ham,
men hvem er vi?"
AABB	"I tåkeheimen, rå og vill,
to ting han lærte: is og ild.
Han gikk mot stormen. Føyk og kov
sin dype viljefure grov."
ABAB	"Hans kraft ble spendt av strenge mål,
han hentet styrke av forlis.
Hans viljes stål mot stormens stål
og is mot is."
AABB	"Han lærte mer. Mot kuldens gys
han så ett vern: sin ild, sitt lys.
Å, sinn mot natten, kald og arm
bli tifold strålende og varm!"
ABAB	"Han dyrket ilden til den gav
den største flammen verden vet:
Den brente over fjerne hav
barmhjertighet."
AABB	"Så døm i lynet av hans sverd
vår egen kraft, vårt eget verd.
Når spendte vi vår viljes stål
mot høye, smertelige mål"
ABAB	"Når brente vi mot ett: at gi,
vår ild, vårt lys mot stormens vær?
En slekt på film, en slekt på ski
er alt vi er."
AABB	"En slekt på film... På flukt hver kveld
fra livets dådsprakt for oss selv.
Her elskes kvinner, annfolk slåss
To kroner koster livet oss."
ABAB	"Men der er håp: en slekt på ski!
Her er vår egen kraft som flyr,
lik stål og sang, her suser fri
vårt eventyr!"
AABBCDCD	"Men hvorfor kraft og helsebot
og styrkens drømmeløse mot?
Det er det største en kan si
om slekten vår: den går på ski!
Det er jo alt vi vil og kan
som slenges ut i sol og sne.
Men intet folk og intet land
ble frelst ved det!"
AABCDEDE	"Han gikk på ski! Så lær av ham!
Med åndens byrde gikk han fram.
For dådens drøm, for Norges flagg.
Han visste hvorfor, natt og dag.
På birkebeinerferd han for
med Norges kongsbarn over fjeld:
han bar en fremtid i sitt spor
mot isgrå kveld!"
AABB	"Han gikk på ski... Nå er det oss.
Ta byrden opp i hellig tross.
Hver evne som vi har og vil
herd den til stål, glød den til ild!"
ABAB	"Bli ånd, bli menneske, bli mann,
bli viljen gjennom mørekets tid.
Saml først vårt sinn. Saml så vårt land.
Det er vår strid."
AABB	"Nå er det oss! Mot stormen blind
brøyt løypen i vårt eget sinn.
Og stuper vi, hent kraft hos en
som gikk der før, mens natten hven."
ABAB	"For over øde fjeld og hei
vi skimter foran oss en mann.
Hans spor skal føre inn til deg,
vår fremtids land"
TABCBAB	"AV CYKLUS BØLGER
Jeg er morgenen med marsblæst og skipe under seil
og bølgene som går
i dunkle kolonner med solbelyste skjold
gjennom kystlinens skår.
Jeg er skipene som lænser med skumvåte speil,
kulingens hår!"
ABCACA	"og måkene som styrter over kimmingens vold
i det bunnløse blå.
Jeg er aftenen som brenner på de kulsorte skjær,
strandgufsen kold,
og planken som driver under sølvmånens skjær
og dønningenes vold."
AB	"Og dypet er barmhjertigt, det åpner sine gjemmer;
dog stundom åbenbares alt i fiskerflåtens garn "
ABBA	"De slepes ut en dag med den sidste skjendtselslast,
og sammen med sin byrde i dypet de senkes.
I bunnens dynn og leire de råtne stavner lenkes,
hvor haier på sin vandring i det dunkle holder rast."
ABBA	"Muslinger besetter dem, og fiske går med bud
til ormene, som langsomt sin kropp i dyndet vrider
de perlehvide salte i træets fibre svider,
og lerens blå spedalskhed slår ut på vrakets hud ."
TIABBCCDD	"NÅR BLIR DET MORGEN
(Av På Guds veier.)
Når blir det riktig morgen?
Niår stråler i gull-glans hopper
over de snelagte topper
ned i de mørke kløfter,
løfter
den mot lyset kravlende stengel
opp til å tro seg en vinget engel."
AABBCC	"Da er det morgen,
riktig, riktig morgen.
Men når været er stygt,
og mitt sinn er sykt,
ingen morgen for meg.
Nei."
ABCCDD	"Visst er det riktig morgen
når blomstene opp har lukket,
og setter seg hen å love
skove-
ne ny store kroner i gave,
bekken, at snart får den skue havet."
AABBCC	"Da er det morgen,
riktig, riktig morgen.
Men når været er stygt,
og mitt sinn er sykt,
ingen morgen for meg.
Nei."
ABBCCDD	"Når blir det riktig morgen?
Når kraften, som gjennomgløder
uvær og sorger, føder
sol i din sjel, så barmen
varmen-
de omfavner verden i kallet:
helt god å være mot alle, alle!"
AABCDE	"Da er det morgen,
riktig, riktig morgen.
Største kraft som du vet
og den farligste med ,
det er den du vil har
Ja."
TABBA	"VÅRLANDSKAB
Det store landskab er i vårens hender;
dypt i en lyssky står de mørke kammer,
og morgenrøden høy og stille flammer
langs skogens rim og fjellets gustne lender."
ABAB	"De svarte jorder glinser under plogen,
som tusen funker flyr det korn man sår,
i flammer skyene! Og hør, der går
en foss av fuglerøster dypt i skogen!"
ABBA	"Rutene skinner i de skitne karmer,
så hytten glemmer den er grå og ussel.
Mitt land, min fattigdom, i all sin blussel
mot ilden strekker sine magre armer."
ABBA	"Der sprøyter sollys ned i jordens skåler,
så allting skjelver i fortvilet lyst.
Fra sine fjell og ut til skumvåt kyst
mørkt syder verden omkring himlens stråler!"
ABCB	"Du sank og sank som i klare vann
tilbunds, tilbunds i mitt hjertes fred;
og himlen lutet sin klare panne
i evig ro over dypet ned."
ABAB	"Der ligger du som en sunken stjerne
og lyser nå gjennom natt og dag,
så jeg må tro det var verdens kjerne
jeg holdt i hånden hin sommerdag!"
AABABBCBDDEC	"Den dype fred i lystens lund
med fyllen rakt av livets munn
og sjelen fri for alt begjær
som fri for sky er himlens bunn,
det er en frukt som vokser her
i denne jord, på disse trær,
det er en lønn fordi du ga
deg helt til det som har deg kjær.
For også dette liv har hav
av salighet og fulle krav
på sjel og legem, sind og sans
til gjengjeld for den gunst det ga."
AABACD	"Så gi deg hen til denne glans
og flettet nå en nuets krans
om deg og henne her i lønn,
mens sol og vinder går til dans
mot himlen vinker og roper høyt:
jeg vil kun deg, du mitt hjertes himmel!"
TAABBCCDDE	"AFTENSTEMNING
Solen skinner vakkert om kvelden,
katten ligger doven på hellen.
To små mus,
fløte av et krus,
fire stykker fisk
stjal jeg bak en disk,
og er så god og mett
og er så doven og trett,
sier katten."
AABBCCDEFGGE	"Kyllinghønen vingene senker,
hanen står på ett ben og tenker:
Den grå gås
styrer høy nok kås;
men se til, om den kan
nå en hane i forstand ?
Inn, inn, høner under tak,
solen kan gjerne få lov for idag,
sier hanen.
Herregud, det er godt å leve,
for den som slipper å streve!
sier fuglen."
TAABB	"VERSET
For en sang kan en penn bli et spyd,
så den segner og dør uten lyd.
Den kan følge din sjel gjennom år,
likegyldig for sår som du får."
AABB	"Den kan nynne ditt hjerte til ro
eller reise en storm i ditt blod!
Men når pennen vil fange den inn,
kan den langsomt forblø i ditt sinn."
ABAB	"Å lykke, når verset blir til!
Det stiger av damp
som soler i susende ild.
Avsindige kamp!"
ABAB	"I rommene synger og ler
en seirende storm.
Å lykke! Det skjer, det skjer!
Din sang har fått form."
AAA	"Hør settemaskinenes sang,
matrisenes rislende klang
og pressens tungt susende gang!"
AAA	"Nå trykkes bokstav ved bokstav.
Ditt vers er på vei til sin grav:
et hjerte hos høy eller lav."
AAA	"Og har det en sjel vil det fly
av graven, av hjertet på ny!
Opstandelsens morgen vil gry."
TABCBDE	"AV CYKLUS CAPRICER PÅ DET STORE KLAVER
Dette spilte jeg stundom
for meg selv i månenetter,
alene med den store Frosk
som storøyd satt og hørte etter.
Bare den og jeg i hele rommet,
all verden forstummet."
AABB	"Her lar jeg dem falle,
tindene, alle, alle.
O hvilken sorg å se
dem synke langsomt ned!"
AAB	"Er der vann nok for så høye
topper i mitt øye,
mørke nok for så meget sne?"
ABABAB	"Der fant jeg det første rede
tre grønne, spraglete egg!
Det var som den første glede
reiste en fryktens vegg
mellom meg og miraklet dernede
foran min nakne legg."
ABABAB	"Turde jeg løfte skatten,
turde jeg ta i min hånd
livet”? der bortpå knatten,
med høyrøde hosebånd
og ellers svart som natten,
satt kjellen stedets ånd!"
ABABAB	"Jeg husker ennu turen,
den første med seil i topp.
På stranden stod mor sturen,
hennes vilje hadde gitt opp,
for nå gjorde guttenaturen
sitt første dristige hopp."
ABABAB	"Men hvilken angst på ferden,
det var noen stenkast kun,
men som om den gamle verden
svandt bort i samme stund
og et bankende hjertets forherden
så like til havets bunn!"
ABCDC	"Kast ikke sten på den troen
som i sin bitre erfaring,
urokket, står for de fleste:
at krig vil det være bestandig.
Tviler du hva blir det neste?"
TABCB	"PÅ STENGRUNN
De unge bjerkene i svarte byen
de står og bruser med sitt lyse løv,
som om de åndet store skogers vårluft
og ikke skorstensrøk og gatestøv."
ABCB	"De løfter tappert sine tynne grener
og lar dem svaie under vårens sus
og varme seg i solens gode stråler,
som flommer inn imellom gatens hus!"
ABCB	"Men de blir aldri som de store trærne,
som står og suser ute i det fri.
Slik er det når man vokser opp på stengrunn
og bare har en drøm om skog og li."
TABAB	"BARNEDÅPEN
Hør hvor stille i kirken, se lyset hvor rent
det faller innover de eldgamle bilder.
Og se barnet hvor spedt og hvor ydmykt betjent
det nå føres frem til de hellige kilder."
ABAB	"Som en prins er det kledt, og dets øyne er blå,
så blå som de nylig i himlen ble tente.
Og det kjennes så lett som om ennå det lå
på de stråler som hit ned til jorden har sendt det."
ABAB	"De toner som løftet og bruste oss inn,
de bølger ennå som et hav i det fjerne;
det er rytmen av dem som har farvet dets kinn,
og i øynenes dyp kan vi skimte dets stjerne!"
ABAB	"Ja, en himlenes sønn er den vesle som her
blir døpt til sin vandring i dødsskyggens rike.
I sitt evige ord er den visselig nær
den almakt som gjør ham til åndenes like."
ABAB	"De signende hender han ser som i drøm
og de dråper som tindrer så klart for hans øye,
de betyr at han dukkes på ny i den strøm
som skal bære ham langsomt igjen mot det høye."
ABAB	"Vesle menneskesøn, må din vandtring bli lett
og må lysskjæret aldri forlate ditt hode,
må du alltid i skjæret fra oven bli sett
som et lys til det sande, en kraft til det gode!"
ABAC	"Når vi bøyer oss ned og ser inn i oss selv
og lar verden et øyeblik bli i sin gåte
er der intet som fyller de tiende hvelv
uten lyset derinnefra, havet av nåde."
ABAB	"Ned i det er vi senket, og vi vet det så vel
at alt det der ute i drømmenes lande,
våre huser, vår jord og de skinnende fjell,
det er skygger som står mellom oss og det sande."
ABAB	"Er der en av oss alle som nå tør stå frem
og ønske deg, barn, at du verden må vinne?
Nei, vi vet at det eneste er at vi hjem,
hjem igjen til vårt evige opphav må finne!"
TAABBCC	"DULGT KJÆRLIGHED
Han tverr over benkene hang;
hun lystig i dansen seg svang.
Hun lekte, hun lo,
med én og med to;
hans hjerte var nær ved å briste,
men det var det ingen som visste."
AABCDD	"Hun gikk bak ved laden den kveld,
han kom for å si farvel.
Hun kastet seg ned,
hun gråt og hun gråt:
sitt livshåp det skulle hun miste.
Men det var det ingen som visste."
AABBCC	"Ham tiden falt fryktelig lang.
Så kom han tilbake engang.
Hun hadde det godt,
hun fred hadde fått;
hun tenkte på ham i det siste.
Men det var det ingen som visste."
ABAB	"Hvo vil ikke gjerne høre
deg som vet og kjenner alt,
for vårt hjerte, ånd og øre
ingen slike ord har talt."
AABB	"Mangen synder skiftet sinn
når ditt ord som lys sken inn,
og hver den som anger tynger,
det til håp på ny forynger."
TABAB	"SØNDAGSREGN I HAVNEN
Silende og mørke Iå skipene i rekke,
skruene stod stille, og seilene hang våte;
i stillheten hørte man kun sluseporten lekke,
og det evige drypp omkring skrogene gråte."
AABB	"Dokkvarterets gademunder spydde all sin kvalme
i havnen, så dens oljeglans tog langsomt til at falme.
Man så kun noen hunder mellom gitrene kretse,
det så ut somom portene var lukkede for stedse."
AABB	"Tomheden stirret gjennom gluggenes masker
på dokkenes drivende kadavre og flasker;
og på taket av de gapende skumringsfyllte haller
knustes og sprutede dropenes krystaller."
AABB	"Skonnerter fra Napoli og gamle spanske brigger
lå oplagt under verftene med sønderflengte rigger;
på æsingene skvulpet de udrangerte joller,
og mellom deres tofter fløt tang og gamle toller."
AABC	"Dér sad også kranene om dokkens sorte kumme
og strakte sine skaldede gribbehalser krumme;
for opp fra rhedens fjære og de blottede pæler
strømte det en liklukt av tang og råtne skjell."
ABAB	"Langsomt ble det aften, og regnet ble til mørke;
mumlende fra havødet nærmet seg vinde.
Skinneganger funklede, men ingen gikk fra ørke;
leidene hang ledige, kahyttene lå blinde."
ABBA	"Lethargiske og halmgule lygterekker tømte
sitt dvalelys i dokkene, hvor skygger lå og dukket;
og vekkede av vindene bølgeskvulpet sukket,
så refleksene reiste seg forvirrede og rømte."
AABB	"Blot dryppet holdt ut omkring de sovende fartøyer;
og dypt i mørket blødte de dunkelrøde bøyer.
Og pyntens høye fyrtårn holdt ikke opp at svinge
mot mulmet sin uhyre og utrettelige klinge!"
AABB	"Kulingen gikk tungt og monotont som gjennom sluser
og tabte seg mot nord mellom havnebyens huser.
Det var somom en jammer i hvert stormstød skulle fødes,
men kun fikk reist sitt hode for i skyggene at dødes."
TABAB	"MOSKVA
Godmorgen Moskva, gamle ven,
med sol i gylne kuppel-løker!
Jeg kjenner deg så godt igjen
fra mine drømmers reisebøker."
ABAB	"Slik har jeg alltid visst du var
så ny og dog med duft av ahner
med gammel glans av gud tsar
og nytendt ild i flagg og faner!"
ABAB	"Men slikt et rykte du har fått —
du slette tid hvor verden hveser!
Du er et kjempestort skafott.
Du vil forgifte oss med teser."
ABAB	"Du er den hele verdens skrekk
og viser ikke tegn til skrupler.
Du ligger stadig like frekk
og skinner med de gamle kupler!"
ABAB	"Du knitrer litt med dine flagg,
og straks er verden redselsslagen:
Nå reiser russebjørnen ragg,
Vårherre, hit med dommedagen!"
ABAB	"Han truer jo den milde fred
som hviler over aftenlande,
så tistler i den gode sed
som spirer etter krigens brande!"
ABAB	"La verden vrøvle dagen lang
og natten med til verdens ende.
Men takk — at også jeg engang
fikk se din røde fane brenne!"
ABAB	"Godmorgen, mine drømmers by,
du hører vel mitt hjertes glede?
Ja, kupler smiler under sky —
et gyllent smil til meg her nede!"
TABCB	"SOL OG SKYGGER
I Efesus har Paulus
sin tid til ende bragt.
Tre lange år han trofast
på skansen der stod vakt."
ABCB	"Selv svak, han stadig øste
av Herrens styrkes hav.
Og hva Guds makt ham skjenket,
med ødsel hånd han gav."
ABCB	"Men tidt hans hjertes lengsel
bar over land og sjø,
hvor før med flid han sådde
gudsrikets gylne frø."
ABCD	"Og mangt et bud ham engstet,
fra leiet søvnen vek,
og fryktens mørke syner
fra sjelens grunne steg."
