sent_a	sent_b	rhyme
Da reiser seg og går den stille dvale,	hør sultens skrik i livets morgenskove!	0
det satte rot og blomst og frukt.	seg ranket opp mot himlens blå.	0
hvor stauren i kavlene fløtes. —	La mørkne om hav over klipper og strand,	0
Med barnet ved sin hånd han går	at Herren taler ved din munn.	0
om å kaste åket, slite tømmen,	flyve fritt igjennom alle sfærer,	0
han ville, om enn kun i én eneste bok,	han lå hver dag for utferd;  men kastet aldri loss.	0
Ti flettet jeg med glede om din panne	Slik så jeg deg. Fra fortids fjerne strande	1
Havet flammet nesten hvitt	skjelven som i elde.	0
Med yndig majestet han går,	og leker med hans rike hår.	1
føler Simon garnets vekt,	så at båtens, garnets evne	0
med samme vé og verk.	i alt det rustne verk,	1
der jeg er blitt en vandringsmann,	var lik det stille sorgens land	1
I bua er kjentfolk, der får vi oss plass	hos halvkaren Ivar og høvedsmann Mads	1
og førend ditt øye fikk dette stikk	Urlandet er det du ser for ditt blikk	1
Gamlefar i stua	tapte lengst trua	1
Og videre så mælte hun:	og jeg ditt hjertes varme slag!	0
No er han viss på grelle parodier.	Han fatter den med klarhet eller tier.	1
Men se! Den strenge Gud har etterlatt den	en fred som skinner evig under natten.	1
vennlig mot skaren Mesteren går.	Og mens de hvite av redsel står,	1
Én sin skatt med glede bringer,	synger det til alle: Velg!	0
de få menn med modig panne.	— denne sterke seiersgløden	0
Her ute er det bittert å være,	kun den drivende planke er fri.	0
stadens trollmenn lider nød.	Gjøgleren må betle brød, 	1
en urokkelig visshet om gudenes veie	om en grublet seg til døde derover.	0
tilbake stiger.	øyne møtes.	0
og stige på marken i grønskende flo	der oppe på trammen en tyvstjålen stund	0
på Forum og i templet hvor vi rasede just!	Hvor forferdet stod ei Cicero, Virgil og Sallust	1
at spunsen ble åpnet og alt gikk på glid,	og hver pinne i klippen de knuste!	0
sin grønne vårkaskade.	med tusen tørste blade	1
Da jeg fødtes stod månen i neet,	og høyvandet vokste i vår fjord,	0
En elsker er du, jåa hannen	Og stryk hennes hår fra pannen	1
Du roper ut til ham: «Stå fast, slå på,	Hvis andre vil komme, jeg kommer også	1
til plan og mål i dagens munn.	fra aller dypest tanke-grunn	1
Og til storm og lyn og torden	vokse skal en kjempehær.	0
hvis vinge ble av pilen lammet	hvis sjelens vunde helt skal gro.	0
Ofte vandret jeg i dype drømme,	fulgte viljeløs de sterke strømme;	1
«Det svarteste England har reist seg til kamp	Imperiet er truet av pøbel og ramp?	1
Men hvilken angst på ferden,	det var noen stenkast kun,	0
Se hvor skjært det lyser	ved hvert av hennes skritt!	0
Tilsist dog river han seg løs med hast	for Rom å nå foruten ro og rast.	1
hvor kroppen fikk føde og hjertene trøst	Her lå ut i havet et Eden og drev,	0
En smule stormvind i de trygge havner,	det hese uværsskrik fra fjellets ravner,	1
De store, fredelige, gamle trærne	mot andre egnes luskebjønn og buser.	0
jeg vil lade avbud skikke.	Hørte du det, du?	0
vekk var de som hadde myrdet.	Mørk, som knuget av en brøde,	0
Markus syndet da han svek	hindringenes steile bjerge	0
Å kunne så sant jeg komme ham nær!	Berøre hans kappe, kysse hans stav,	0
Og smilet blir hånlig. Du bøyer deg lett	og går til de indre gemakker.	0
bind beltet fast om lend;	til vern mot satans pil.	0
og just din usselhed er livets garn.	Deg vil jeg ikke spotte, skjønt jeg ser	0
er gått ubegripelig fort.	rede til reisene inn i det blå.	0
Han ser seg omkring. Et rødlig skinn	smake skal syndens beske lønn.	0
Og lenger i landet fra snebre og fonn	mens skogstjernen tindrer langs stien.	0
Han stanser ved barnet i sanden	og tenker på livets dager,	0
den ånd, som selv i svakhets stund	og Wessels sverd og Wessels penn,	0
Stemmer alle gledens strenge,	Jesus hjem med sjelen går.	0
Og tidens hus vil falle	for oss en evighetsdag!	0
Men er det sydvesten da stormer den bort,	Når skodden så driver om tinden sin flukt	0
det ligger lik bak bjørk og lind;	men huldra drikker livets vell,	0
Guds forbannelse dem ramme	om de nyter vin og føde	0
Men stundom for Høla han legger seg inn	I fiskeflokartet dens stilling du får,	0
alt hin store svermer blandet	Saul skal rense ut av landet.	1
grov med ville hender ned i sandet,	og tok atter mot en himmel flukten.	0
Da ble hver en vårflom mot Skageraks hav	men aldri dåd!	0
man dypper sin leive i tranen.	Så smøres på brødet av leveren bløtt	0
edle vekster sparsomt gror.	og din vei de visst vil lære.	0
Her losser de fangsten fra havet på land	og passe sin plikt og sin næring.	0
mens alle tanker flyger ut på reden.	B. golde gror et lite Eden,	1
skrekkslått de for kongen står:	Bøy deg! Tilbed! Vi forgår!	1
Før vi tramper ned og skaffer	er vi treller alle mann.	0
Nå stod han der tilbake, forglemt i sin krok.	Men gjerningen han gjorde, den var en høvdings dog!	0
og stille til sitt slit presis på pletten.	Man var forlengst i seng i Nr. 13,	1
Se græsset er vått,	og tidlig, tidlig er det på sommer'n	0
Den sterkeste av alle garantier,	mot lumskhets renker eller veldets skaft.	0
Verket vokser. Fulle hender	skaper nytt fra grunnen av.	0
fordi man sitter berget bak en mur,	kan rose seg som herre i sitt kammer?	0
for livet uavlatelig	i kamper uten tall.	0
Og aldri ble skammen fordrevet	eller trett av at gjø på din dør:	0
med en underlig varslende styrke.	Men versene sprang av et gåtefullt sinn,	0
Og sædens vekst kun syntes svak og sped.	var planter av en fremmed verdens grøde. 	0
de klare kirkeklokkers klang,	Til slutning svevde over vang	1
Hvem stod vel noensinne Gud så nær,	Han så hva ingen jordens sønn kan tåle.	0
«Til sankthans	Hun flettede modig foruten stans	1
der jeg er blitt en vandringsmann,	har lengtet mot en hvileplett.	0
Si fort, Nils skredder, hvor du ligge vil !	Tror du ikke, du slår noen mann omkull med kjeften.	0
Og på vårt unge nasjonalteater	«Skal kunsten være eller ikke være?» 	0
mot mang en tåke som dens himmel slører!	der den må kjempe mellom myr og sten	0
gudsrikets væren står på spill.	slå til med faste, hårde hender	0
Syriens berømte, rike,	vekker ryktet langveis fra,	0
Piner dem en heslig drøm?	Peter roper:  Spar deg selv !	0
forsere seg til ytelse av frukt,	mens enno den må kjempe for sin flukt,	1
det ligger etsteds i mitt dype vann ...	hvor hver sjel hernede har sin stjerne.	0
Over Jerusalems brogede vrimmel	lytter til ordet fra lærernes munn.	0
Hvor kan de håpe at det går	århundreders forløste trang	0
som trådte dem grusomt i støvet.	Jeg vet også noen, hvis hånd	0
Herre, er der grenser for din viden,	når dens frukter kun ble skam og fall?	0
folket, landet vil beskytte,	som et krigerbytte.»	1
i larmende optog ad gaten de danser.	med flagrende hår og anløpne sanser	1
Kall danserinnene frem! La oss bringe	naturens kronede guder vår pris.	0
når han møtes med krav og terminer !	hvor meget av jorda han piner.	1
vil deg gaven skjenkes fra det høye,	meg i avskjedsstunden kan få se,	0
Vi stirrer blot som krypet	Vi fatter aldri dypet	1
Og veien mot verden den ligger der fri,	Den tindrer i kvelden mot sjøspeilets glass,	0
Også nå brast fangens strikke.	førti menn med hånd og munn	0
Hvor kan de håpe at det går	ett folk og én, kun én, én vilje.	0
Rundt havene vrimler det med havner,	jeg har gjestet dem alle en gang,	0
Dit stundet han stadig. Og visst var han glad,	da foten han satte på hellig grunn	0
sitt kommunale renholdsverk	av bikkjer, katter, høns med mer,	0
Og Tommy i London har gått fra sin buss	Oceanene ligger snart stille og suser	0
snart går du om myra til Borge i nord,	de drikker sitt krydder av myrsøkk og kjerr	0
den høye lyse storm går stridt	om strand og nakne skjær;	0
ble folket betatt av den selsomme rus.	og drar avsted under sang og spill	0
i blod og tårer er den døpt,	i trengsler uten mål og måde,	0
Men den lunkne hær må ildnes,	rundt om ham som ligger der,	0
til den døde som ikke svarer.	til mat og til drikkevarer,	1
med femti centimeter brede kongeveier!	og overskue landet som du eier:	1
for efterpå med munn og hånd	i feighet samme sak fornekte, 	0
til ildstripen freser i dampen.	så løser han trossen og kaster seg loss,	0
den var ei nettopp barns bedrift.	Selv står han trett av veiens møye,	0
Hvem ei kan bygge sitt eget hus,	han dør dog ensom på Sankt Helena.	0
og folket undres ved den sære klang:	på land, på bølge og i folkerang.»	1
alene mot tuseners raseri.	Jehovas herold! Så fryktløs og fri,	1
Judas er vennlig. Betal ham kun godt,	De finner gaten, den rette, den brede,	0
så vipper de i den hårde fart 	Og er enn brystene bare kart,	1
langs besungne, sagarike strande,	under sydens klare forårshimmel,	0
straks konge-bud dens frihet skygde,	og derfra over alle tider,	0
som greide stift på kassen!	den dårligste i klassen,	1
I mine sanger	alltid andektig, aldri med løyhet.	0
Nei, i det spinkle og vare begynnende	hørtes melodisk et småmuntert nynnende	1
og ørkenen omkring min gang	har lengtet mot en hvileplett.	0
og spyle bort palasser og rønner,	Jeg er Benjamin blandt Ismaels sønner,	1
Den uke det varer, det er ingen kveld,	men lar dem til glemselen flakse !	0
på mørkeblå bølgekammer.	med vindbøyde furustammer	1
På denne ødemarks plartå	som rester av en jettes hus.	0
Maånens stråler forsølver løvet	vinden nynner med bløte toner	0
Nei — la dem føle hva selv de har gjort.»	Og så vil de sende oss hemmelig bort!	1
i beven deroppe, og Herren god	Så døptes det fordum da Moses stod	1
hører du meg nu,	kanskje kan du vise veien.	0
Kall en av dem. La meg kun gå	min vei som før i disse daler.	0
Intet så mørkt som din fjord, når den fyker	intet så mildt som din strand, dine øer,	0
Rom — Jerusalem.  En gang ennu,	før hans øye lukkes, må han se	0
Fly til ditt mørke fjell,	og lytt til suset i tanget,	0
men damen var lunefull,	og ridderen døde av kulde.	0
Midt i hopen står alene,	blodig om hans såre lend.	0
av snekker og skinnende seil forlatt.	skal ensom vugge ved dag og ved natt,	1
og minnes de en drøm om jord og vår,	fra før ens håp ble bisatt i en gård	1
Her var et adelskap å finne,	ti Gud var sjelens lys og ære.	0
Det minste han har skapt, er stort	hans herlighet å prise!	0
og dypene i levende kamp med sin vind	ble som en helteferd at skue!	0
De finner gaten, den rette, den brede,	Saulus dem følger med usikre trinn.	0
i lyset av Guds fred vugger salmen han gav.	der skjultes han, og der står hans minne nå for oss.	0
Trygg han føler kampens spenning,	deres mål var engang hans.	0
mer lett kan lufte i paradis.	det er utenkelig denne bris	1
Du går og steller med ditt blomsterbed	før det du slet med var deg fullt ut verdig.	0
og spytte min gift i hans tjeneres sjele.	jeg vet den vil lyse fra pol til pol;	0
har Krimlandets solkyst fått	og bor i dens rikmannslott.	1
Legg så kursen tilbake, til sund og til led	på priser og varene prutte.	0
Skar det et lyn over himlen, hørte vi tordenens skrall,	krøp vi forferdede sammen som kveget på stall,	1
Men verket er stort. Det krever en sjel,	Aldri den brennende iver må sløves,	0
snart er svakhets slukte branne.	Rikets vei — akk det er døden.	0
igjennom brottets tinde	og fugler flyver omkring;	0
fikk ved Karmels seier glans og gavn. 	tifold verre hånes nå ditt navn.	1
For korsets under bøyet han sin ånd,	Dets gåde var ham lysets klædebon,	1
har hun fått reist sin drømte katedral.	I deres sinn, av deres håp og kval,	1
Som lammet der ledes ved slakterens hånd,	tålmodig han gikk til fengsel og bånd.	1
Se hennes smil imot den unge slusk	som står og venter!  Er de ektefeller?	0
Blir vi mange, kommer tiden,	da vi enkelt får vår rett.	0
Å, god natt, god natt!	som av kroken för,	0
Det har Paiulus ikke glemt.	Derfor er hans nei bestemt.	1
Kom vi alle først i slik en	da ble rett på et og annet	0
Men skjønt er det også en vinterdag fri	inn over de kuplede heier !	0
og nevnte seg,	men best som han lydde, den løp sin vei,	1
lykkeridderen, som bygger	godt forvart i dydens slør	0
Nå ruller toget inn blandt mørke fjell,	Her ligger sneen, larmen bruser lav,	0
Vel dempet tiden hjertets brann,	i sjelens bunn. Sin ungdoms sang	0
Men Merkur som vidt over rikene fløy,	da satte han bopel i Reine!	0
og dyster blir strengenes klang.	i mismot så mangen gang,	1
med sunket tak og lukket dør.	og hvisket i de gamle trær,	0
i himlens rund, i jordens egne,	Ti hans er makten allevegne,	1
larmen vokser til en storm:	«Sten ham! Sten ham! Vi fornekter	0
blir varmen dog verre av brennvin og støyt,	og at hånden er villig og våken!	0
«Jeg kan ei, Herre! Vredes ei	en som er sterk, som fast og trygg	0
og vender mot sin hennes munn;	av hverandres dypeste grunn.	1
om hjemmets gull på gammel vis,	de stive knær for Sidons Baal.	0
Mesteren! Ja, så kaller de ham	Jesus frå Nasaret, jødenes drott 	0
Og Moses har ei glemt sin svakhets skam 	i prøvens tunge stund ham troen sviktet.	0
I stormen han trosser den værhårde fjord	tilsammen de legger tilbake.	0
Her vokser ørnens vingefang,	her tuktes han til hellig id.	0
århundreders forløste trang	ett vakhold kun om frihets-pakten,	0
og fromt han fulgte deres skritt,	og med et smeltet bryst han kom	0
der blomster slynger seg om lansens skaft.	som knytter Sydens vår til vintrens sone,	0
nå nød han i fred sin tapperhets lønn,	han hadde vunnet sitt hjertes skatt,	0
Han var så trett og tung i hu.	ham innenfor min dør å trede?	0
Mens jeg i disse drømmer satt	og skinte med sin fulle prakt	0
i rettferds sterke panser kledt	med frelsens hjelm om panne;	0
Her ligger det ennå det første kyss	i favntakets tunge duft.	0
der hvor rett har vakt og feste;	når det gjelder eget beste.	1
en fugl og jublet om det kildevann	en liten sang.	0
Jeg er bølgen, jeg er skapt av drømmen	bølge i det hav som allting bærer,	0
alt det som visste hvor sannheten bor!	hva der står skrevet i himmel og jord?	1
der vår i snøen glemmer seg;	og i et no, med ild, med makt,	0
O, var dens hylle her	med dens svake lillaskjær	1
og løser beltet fra sin venn	skal dette beltes eiermann	0
med rike frukter til Guds behag.	sin vanlige gjerning med ubrutt velde,	0
Lykkelig den som tvilen ei gnaver»	hvem skjenket deg gledens skummende vin?	0
og nå forlengst forbi sin slyngelalder!	dens ungdom og vår egen sammenfalder.	1
for å overvære denne gresselige mesterjakelforestilling	Der sitter ikke et menneske i de ti tusen stolestader.	0
Ingen har tårer, ingen har bønner	er oldinger lik, med slepende trinn.	0
steg krav om menskeverd.	bli opprørske av fattigdom,	0
kulde, hete,	og jeg er min egen båt og færing.	0
En broket og svaiende eventyrhekk	med alle slags blomster i roten og toppen:	0
Hvem kunde det være? De magre trekk	Han talte om Gud — om Israels Gud!	0
en fugl og jublet om det kildevann	Til deg, du gammeldagse, rare mann,	1
For inne i fjorden bak øygarddns hegn,	der kom der en ungdom og søkle et tegn	1
tør hun ei møte meg mer?	nevnende sommer,	0
var stedet som jeg søkte her.	som hun i fjellet fanget holdt.	0
Så var han da også en seks fots kar	med håndlanger-trenede skulderblar!	1
for gamle folk. De rusler hen	og tenker på da de var menn	1
sin vekt over havspeilet lette,	til tanken forløst fra de jordiske bånd	0
Apostelen nå står som mål	seg for å høre, for å se.	0
bar den henne fra syn til syn	vintren strødde så fager drøm,	0
av en og annens skjendige forgapelse	Just no arbeider vi på Norges skapelse	1
De hang over benken, de lå imot veggen,	på sin ny-slepne kniv i den blekkete pult.	0
Så still deg ved min side, kamerat.	Nå gjelder det å slåss for hus og mat	1
Der steg fra massen en undertrykt støy.	så vannet i grøften rikelig fløt.	0
Den natten bygget vi et drømmeslott	i sol og luft med åpne, lyse gater	0
er skjønnere enn den du nyter nu	Men ingen fred	0
og kornakset samle på gullet.	Jeg ser alt de gårder som reiser seg der,	0
«Fader! O forlat dem! Hør!	den sitt rike stråleflor	0
kom tilbake. Vilt de snerrer:	Svennene til templets herrer	1
Folket er det samme! Ingen eier	Kun en drøm, kun blendverk og bedrag. 	0
Hvor er nå vinden,	ormen i støvet,	0
du er blitt mere hoven og fatal:	si, er da du en norsk original,	1
for hemmelig fred,	ved at solen går ned	1
det skal fra sin rot bli besjelt igjen	Det må ei eldes og sykne hen,	1
Gjøgleren må betle brød, 	tryllemidler, amuletter,	0
lever de sitt stumme liv.	Bergets funker, sjøens ilder	0
Knut Labeit i Viumsåsen	sølv i skap og fulle spann.	0
ble folket betatt av den selsomme rus.	Begeistringen stiger — mengden er vill,	0
jeg har syndet! Herre, gå 	Men i mildhet Jesus vender	0
Hans kinn er hvitt, hans øye matt,	og kysser med andakt hans blod i støvet; 	0
Og hans venneer gråter, klager,	knust og knekt av tvilens ve:	0
Akk hvilken synder kan bestå for ham,	i prøvens tunge stund ham troen sviktet.	0
hos denne norskhetens filisterkaste.	og der det finnes, er det lett å baste,	1
av kulde stivner dog hans bryst og finger	før det fra folkets hjerterøtter klinger	1
seg for å høre, for å se.	og tier.  Akk, ti verre dog	0
lys i lyset bakved alle stjerner,	alle bølgeslag fra alle hav og havner.	0
Så koker han kaffen og skjøtter sin tarv	og nikker til lunden, til æfugl og skarv,	1
der ligger ei dag i dvale,	med venner i lys vi tale.	0
Du ser min kummer fra det høye,	Men senk min synd i nådens flod,	0
Og jeg selv på hellet	imot graven ner,	0
skar han fore i teksten; og uinnskrenkt-monarkisk	og en styrt-regn av vidd, hvorved ingen satt fri.	0
og føder dem endog av kongens mat.	Vet du det ikke: i bjergenes huler	0
og smiler triumferende og hopper ut fra skuten!	så glasset raser singlende mot gårdens støpte sten 	0
Gud har talt! Hans dag er kommen.	ut han førte ham fra døden.»	0
Hill deg, Norges bringe!	Men bak pansrets bue	0
og hjertets tro slår ut i sang.	Ved Samuel, Guds tjeners hånd,	0
Han tvinger av berget en voksende by	med kaier og lager og piper i sky,	1
i livets bok fra evighet?	har Herren angret løftets ed?	0
Og Hennes Høyhet sukker: Det er Lise.	De store, blå øyne fylles av farveller:	0
han kjemper for seg og for sine!	Han lærer seg alt som den ørvesle kar'n	0
så langt som den hellige kristenhet når.	og julefest holdtes i hver en gård	1
Og jeg gjør som selv jeg lyster.	Jeg er kongel Ingen kryster	1
ånder vinden ut hans siste ord	Paulus tier. — Som et dempet kor	1
bakt deres brød og gjort deres festers brygg.	Alt har vi skapt, mens de pisket med svøper vår rygg,	1
kan få bort på lettest vei.	Saken selv er ganske grei;	1
og ønsket henne lang og gyllen sommer	når engang blomstersneens dage ender.	0
Om aftenen: fremme i Jalta,	og hevdet vårt vikingery.	0
Men ut fra skyen stråler gled	den rune jeg vil riste inn.	0
Jeg viser ham de gylne maktens kroner 	Så vil han villig knele på mitt bud	0
hjertet, som fjellet, en dødens ørk.	Ei glimt i natten, ei lysning seg tenner	0
Måskje har det ingen nød —	over deres nøkne kjød,	1
Hele byen stusser, grunder.	trell og herre hånd i hånd,	0
Her er vårglade sinn tross all kulde og is,	For om solen dør bort bak om havtåkens spinn,	0
han tvetter og binder så godt han forstår.	den lønnlige kval som hans hjerte tærer,	0
kong Achab, du er blitt modig til sist.	i den senere tid er blitt litt bløt.	0
De søker i øst, de søker i vest	storbyens vrimmel dem helt forvirrer.	0
at alt det der ute i drømmenes lande,	det er skygger som står mellom oss og det sande.	1
fryktløs går jeg da, og sterk og glad.»	hva du ønsker før vi skilles ad.»	1
Husk at den er Herrens dyre eie;	Bær den! Led den ad de hårde veie,	1
et liv som holder seg mot bjørn og orm,	det sterke anfall av en riktig storm.	1
fange inn sine kroner til gården.	Først skal markene renses for røtter og røs,	0
Hør meg! Der er atter skrevet	det av Herren selv er krevet	1
mot horisontens hele trylleri.	Da dveler han med stille sympati	1
og fløyter i nebbet sin klage.	og smelter deg inn i den vide natur	0
Den sanne kraft bor kun i Norges klipper,	selvstendighet skal være all vår trakten,	0
og skarer til lovsang og takk kan henrykke?	luer i glans over lenker og død?	0
med stille beven mot Judea.	I rosers flor, i somrens skrud	0
i de lyse, duftoppfylte lunde	For hver kvalfull slummer,	0
Han smiler og truer med neven	som holder det syndige leven!	1
hvor duggfrisk den nå over husene gror	Se humlen som hang der så sort i sin snor,	1
Vi skilter med de rustede trofer,	Og fra vår vinterlige klippestrimmel	0
engster meg i sinn og hu,	dødens velde sønderskutt	0
hvor sangernes sanger bodde.	og hegnet om haven som grodde.	1
hvor far og mor i ømhet fredet	Hvor fattig hyrde før har kvedet	1
kun stoff til strid, til argumenter,	kun blinde dårers tidsfordriv —	0
med blomst på kinn, med smil om munn,	av skjønne drømmer søtt fornøyet,	0
men som gladelig sitt gull	ei med flid og omhu verner,	0
gjenlyd av min ungdoms stemme	Jeg har følt jeg har kun hjemme	1
Takt, takt, pass på takten,	da ble rett på et og annet	0
i dine hender guddomsmakt,	du går hans vei, du gjør hans verk.»	0
og ber dem lytte.  Med ildfulle ord	hans veier og vilje, hans tanker og domme	0
Sjo-i, sjo-i, hyss,	Nei, det gjorde jeg visst ikke.	0
men han hadde fe i båsen,	sølv i skap og fulle spann.	0
Svensken sier, at vi ere	en en liten dreng,	0
jeg har syndet! Herre, gå 	seg til ham og til hans venner:	0
Paulus dog i byens gater	én for én, bevoktet, lenket.	0
Sangen forener, idet den fortoner	trangen til skjønnhet, til dåd, til det rene!	0
Det når og Paulus hvor han ferdes nu,	og fyller ham med smerte og med gru.	1
De unge menn og kvinner av vår ætt	og gir én blod.	0
med gammel vanses slitte rokkelorer.	I byen pøbel og nobless seg morer	1
hun vraker enhver som er gammel og svak.	Den Gud, for hvem hun skal forrette sin bønn,	0
en laks må den kalles med rette.	For røket og skåret i skiver på glass,	0
Så tilfjells hvor toget bukter	mellom murer av granitt.	0
Og som skipet sakte glider nærmere mot land,	stiger frem Atene med sitt herskerspir mot sky,	0
her borti gaten i den store gården.	en ungdom vill og glad som denne våren!	1
et Guds barn jeg være må!	Jesus, la meg leve så	1
Paulus står stille og taus og ene.	Snart suser omkring ham en regn av stene.	1
riktig, riktig morgen.	ingen morgen for meg.	0
dens torden-vinge slår og jager,	og lynets klo i skyen tager,	1
Han vet forvisst, nå er hans dagverk endt,	Ti lov og rett er landsforvist fra Rom.	0
søkte meg min ånd å råde;	som et spill, en dunkel gåde.	1
slengt av en terne ned	og plutselig bryter våren	0
Og i syk og karrig jord	Gi dem frihet! Før dem frem	0
Egypten håner våre fedres Gud	Se, Farao kun trosser dine bud,	1
herd oss til strid!	aldri har bøyd seg for Bøygen og sveket,	0
O herre, i tåke vi ror	med rop fra mann og til mann	0
og ingen vet hvorhen den jager.	Bort flyr den mot havet, tar sommeren med,	0
med kinnet like mot vindens munn	Det var så salig og søt en blund	1
rett hans kongedømme kjenner;	ikke én hans kall forstår.	0
Det er den ville skognaturs produkter,	som solen varmer og som regnet fukter.	1
og enskjønt meg ingen tvinger,	Så blir verdens synder sonet,	0
Akk hva er mennesket? Støv av støv!	Var støvet til stede i tidenes gry	0
med susende furuer inne på sin jord	som lenge har ventet og sitret	0
i nattens skjul fra muren ned.	Så spennes repet om hans lender,	0
Men Kalsen styrer syngende og glad igjennom gaten.	Det ruller nokså ille, og han setter sjøgangsben	0
Paulus ser fra skipets stavn det stolte Hellas' kyst	som de lyser mot ham mellom øers krans?	0
Her losser de fangsten fra havet på land	med berger av mat over klipper og strand	1
i nattens skjul fra muren ned.	så fires han av sterke hender	0
Sådan her.  Den ringe tvist	liten var så tidt den gnist	1
på tanngard og gjeller den var som en hai,	Forsluken og doven, tyvaktig og grisk	0
like til randen av evighetsrøden.	forlikt med sin gud og fortrolig med døden,	1
Dog  du mente det så vel,	derfor sletter Gud din gjeld. 	1
og blomsten, beruset av duften,	bølgene favnes i blinde,	0
fra Måsøy og like til Sarpen !	som toner til salmenes palmesving	0
hvor folket svalt i stormens spor	Ditt ord ble flamme hvor du kom:	0
og gamle stakler lydig bøyet	de stive knær for Sidons Baal.	0
i bil til den fornemme, store butikk	Der blomstrer et dikt i ditt drømmende blikk,	1
og stråler i snefjellets topper !	Da bruser Guds sol over alle de sogn	0
Der flyter og kirken og gården i ett,	står Moskenesøya og raker.	0
redslene dem alle rammer.	skrekkslått de for kongen står:	0
Kun mennesket, hans skapnings krone,	til egen vinning, egen lyst,	0
En eneste lidenskap brenner ennu	betegner hans stilling og viser hans makt.	0
hvor han i sin Faders hender	Sår og trett han bort seg vender,	1
en kirke som krøker seg over sin mur,	den samlet sin hjord ifra Andenes by	0
mest i slekt med døden.	helt fra morgenrøden,	1
Når no dens kamp den fram til klarhet fører,	i dagen fram, i form og tone ren,	0
og gav oss sin saga med billeder på.	Vi leste så øyet ble stort og vått;	0
Og han ruster ut på stand	folk tilfots og folk tilhest,	0
Din tro, din strid, din angst og dine kvaler	Ditt hjertes utbrudd, dine breve, taler,	1
at følge leken i lønn og lind.	helt ned på puten og gjør meg blind!	1
Aldri så myk og bløt var hans røst,	som når usleste kryp han fikk bringe trøst.	1
mens østenfor der i en blå silhouett	Her fletter og båren sin skumhvite snor	0
og drar tilfots ad strand og fjell.	og stiger ad de steile veie	0
Stå opp til stridl Til strid mot hvem?	her mørkner hat, her tærer gift.	0
Kong Saul treder langsomt inn.	og klarhet i skjebnens spinn!	1
i det harde sand	vilt med vind og vann.	1
sin ringe sang til Herrens pris,	om hjemmets gull på gammel vis,	1
Og nå dere setter dere til aften-hvile	en takk-fylt glede innad ruten se	0
Lister seg lengsler gjennom hans bryst,	tanker og følelser, bevende, ømme?	0
til halve Europas fortæring.	og passe sin plikt og sin næring.	1
for skøyte og fangst, som for skipper.	"Er ""tåkøya"" ennu dens eldgamle navn,"	0
Å, brente en gnist av hans ild i min bringe,	da kunne jeg skilles fra alt jeg har kjært.	0
Hver heller i le hver fjellvegg i syd	Og utefra bruste en lykkelig lyd	1
jeg kommer fra en annen trakt	skal ingen eftermale,	0
Vinden suser sin evige sang,	bruset stiger og faller,	0
deg som vet og kjenner alt,	ingen slike ord har talt.	1
det land vi har drømt,	til ørkenfreden fordømt.	1
Minnes jeg stranden så ligger den nå	fedrenes gud som ga slektene synet!	0
Krøkte rygger, sløve blikk forteller	Under herskeråkets tyngsel treller	1
Men også hvor yndig, langt mer enn du tror,	Se pyntet er lien av sommer i knopp,	0
De tusene timers stille lykke	du åndet deri, ble perle-smykke,	1
Av tretthet og smerte de synker omkull.	som frekke banditter, i lenker og jern,	0
ble løftet på bølger av kjærlighet!	For fred er det beste  som alle vet.	1
Da går et usigelig smertesdrag	Judas, hva er ditt ærend hos meg?»	0
«Jeg følger med glede!	fra plogen, og henover sletten den brede	1
få et kyss av en mor og få klagen besvart	Det var som en sang og jeg hørte det klart	1
For jubles skal det, folkets røst skal høres,	«For kjempers fødeland», for «Sne og bakker».	0
ble skyens teppe splittet att,	og solens siste stråle gled	0
skal moderbrystet ene slå med varme,	og dele seiren over mørkets harme?	1
Kun kaos og natt  og de villsomt svingende ror.	blot havets besværlige ånde raller dumt.	0
uhindret av dagens krav.	hver byrde er lesset av,	1
Frykt deg ikke, usle, svake	Syng: Velkommen her tilbake!	1
og ørnen hang i den klare luft;	hvert blikk var spent og hver leppe bundet	0
og dekket stedet med rullesten.	Jeg tror det snarere er en drøm,	0
Og bæres din sang med vinden	mot evighet, så fortell:	0
Nå har jeg ingen planer om å rømme,	Og derfor holdt jeg av den. Mine drømme	1
Hyss! Han taler. Og profeten	myndig gjennom sløvet bringe;	0
det søkte offer i sitt garn.	den beste skatt, den siste rest	0
jeg hadde smakt den flyktendes lyst.	som blot rapser en frukt langs sin vei,	0
når ene i natten det stirrer og stirrer,	ei menneskets jordfødte tanker forvirrer.	1
ei lenger meg åket krenker,	Nyss var jeg som slave i lenker	1
Det nytter ei å gruble eller stride	om det er flyktig, lite eller stort,	0
Tidt tyktes hans gamle følsomme far	han ferdedes rundt i hjemmet.	0
Hallo kamerater i trelldom og nød,	Vi kjemper for mer enn det daglige brød	1
og jeg kjenner alle hajer og ravner	jeg har gjestet dem alle en gang,	0
henfarne slekters rike arv	i store, gylne minners ramme. 	0
de svake brødres strid mot mørkets hær.	For én av dem hans hjerte særlig slår, 	0
den svake får mod.	Men Herren er god!	1
Her lærer han med samlet sinn	som slagget kan fra gullet skille.	0
og derfra over alle tider,	den får man neppe tam omsider.	1
Det er kong David. Av sin egen sønn	fra landets kongetrone truet, jaget 	0
Nå fører vi somren i by	når solblink i bladhenget iler!	0
med mord og trusler mot Herrens fromme.	— kan hende verre enn noen sinne	0
hørtes melodisk et småmuntert nynnende	som til en dans. Og førenn en sanset det,	0
