sent_a	sent_b	rhyme
til bunnen loddet kaster 	hen over jorden haster,	1
ingen av dem kan meg binne,	Jeg er venn med alle vinde,	1
Her losser de fangsten fra havet på land	og gjøre system av sin møye og flid	0
og slynger opp mot himlens vår	Det gamle tre ved vinduet står	1
Han messer jevnt i den høye forsamling	Jeg hørte ham mange, mange ganger,	0
mens gleden kun med granbar seg bekranser,	Mens Norge slumrer i sitt sølvgrå panser,	1
Dog i trengslens lange natt	ble på Herrens arm det båret,	0
Og er det en høstkveld når mørket står på	Men høit over lysglimt som vinker til bys	0
«Sandelig! litt skarpt det lød 	«kun fordi jeg gav dere brød,	1
Jeg synes at alt som er herinne	Er du et barn foruten minne,	1
Man snakker om oppstandelse! I skrekk	var veltet bort, stod den oppstandne, ensom.	0
Da hører jeg en kvinnestemme skingre	sitt grep i gjerdet: Jeg må inn og spise 	0
det føltes som lykken ble mindre og mindre.	men svar eiet ingen i verden vide.	0
Hør brølet fra den gule Kinamann:	O City se imperiet står i brann.	1
Ham tankene driver til fortidens land,	og drømmene våknet i strålenes gull.	0
Hun grep sin klare langelek,	ved hennes underlige spill.	0
en synder på jorden som nå skulle opp	Han hadde vel tatt noe, ingen gav ham.	0
det stille lengselssukk når synet brister:	Men etter skrekken seg fra hjertet lister	1
Vi fatter aldri dypet	til bolig for seg selv	0
Saul er forkastet. Gud er vred	men kunde ei. Min kraft var lammet,	0
og fromt han fulgte deres skritt,	Da slo hans hjerte atter blidt,	1
Og Moses har ei glemt sin svakhets skam 	i prøvens tunge stund ham troen sviktet.	0
Man tviler og man tror  man hvisker, frykter,	og mer enn ord forteller blikk og miner,	0
Og heller gått ut av ditt skinn	— men kanskje du skulle ha ringt?	0
fra bergets topp til havets bunn.	og fyller alle tankers skrud:	0
To hundre lange vintre	skinnende svart av sot.	0
Så vender han seg til prestenes flokk.	Bring deres offer, syng deres sange,	0
mens straumdraget vifter dens sjøgrønne skjegg :	Snart går den på banken, snart langs med dens egg,	1
Slik hadde det i blåsende månenetter stått	siden Døyngbuktens linje ble skrevet.	0
kun spredte glimt i tidens natt,	med solglans over fjerne tinder.	0
Alle fatter, alle ser	at med alle sprell og rop	0
Da til mitt første forhør jeg var kalt,	Men Herren stod meg bi. Hans sterke hender	0
Han velger og vraker som ødelanden,	velsigner den ene, forkaster den annen.	1
Når klokken er fem da er han på fart	Men halvtimen etter med redskap og stamp	0
gjør kun som før hans vilje klar:	bær skylden for den spilte tid.	0
som stevnet inn for vindspent klut!	for sønnens fiskerlag?	0
hvor folket svalt i stormens spor	steg krav om menskeverd.	0
så rolig og besindig som var det nettopp dem	som rådde over mørket og havet!	0
står stille om mitt hus	Et mildt og sakte sus	1
Han er eldet, grånet, bøyet,	og av årene så lange	0
Det ble vår i alle dale	med den fest han fikk i gang.	0
han kjemper for seg og for sine!	å bruke sin jukse og sette sitt garn	0
På veg og sti som var forlatt	der vokste no det tette kratt.	1
kan hende han grubler på skjulte ting,	eller ferdes i fremmede egne omkring.	1
slanke luggere med smekre master,	alle dere, redselsskrik og bønner,	0
at man minsker på seilet og firer sin rå	Og med åren lagt inn i det skummende drev,	0
med fjærene fine!	kom, duerne mine	1
og margen er også den samme,	og veden er hullet av mark.	0
Judeas sønner slumret ei.	Som øvet jeger byttets vei	1
Og her kan jeg se hvor sjøene falt	da har det blåst i natt.	0
av klipper som våker i solnattens bad	Her ligger bak fjorden en vekslende rad	1
guddomsfødt og himmelbåren,	til det største storverk kåren	1
går Paulus med sitt følge inn	omkring den gamle kjære gjest.	0
Og det kjennes så lett som om ennå det lå	på de stråler som hit ned til jorden har sendt det.	0
hvor Berger huserte i hundrede år	mens Kårbø på kaien regjerer.	0
hen til kongens leie treder:	Kom dog ut til dagens gleder.	1
Knut var både grim og gram,	skakk av vekst og hoftelam;	1
over verden snart jeg kommer!»	skal dere se meg, når som dommer	1
dem synke langsomt ned!	O hvilken sorg å se	1
Så selger han fisken ved kai eller jekt,	Men hjemme går bøterens spole som nål,	0
Sol glitret over bølgene i lek,	og stormen mørknet til, og sjøfugl skrek.	1
Der sitter én tjener blott	Søylene er slanger.	0
ei med flid og omhu verner,	bytter bort for malte stjerner	1
men med glimt av gammelt mot,	Så en dag med mødig fot,	1
et hjerte hos høy eller lav.	Ditt vers er på vei til sin grav:	1
og uten hodebry.	En liten sydfransk fiskerby!	1
der teiger til teiger seg føyer?	når grendene ligger der gård etter gård	0
Men vinden var herskeren, det merkedes på alt	ville reise seg ogg å innover jorden!	0
Men arbeidet krever jo ennu sin mann,	mens småbåten ligger, så holder han stand	1
Hvis det noensinne skjer	Ti og gål Og aldri mer	1
Så vet vi allikevel fast som en lås	at ryktet er velskvettet vann på den gås,	1
og selv i by gjør våren underverker!	det er det ingen av dem selv som merker.	1
hvis min sjel var blitt minnene tro?	eller vet du det havskår som lo?	1
et Herrens ord fra gamle tider,	ved Mose munn, om folkets kall,	0
er det som om døgnet blunder,	faller over sjelevrimlen,	0
han eier den edle, skinnende skatt.	Rommet blir stort, og husets hvelv	0
Uferdig ennu, ja, men dog en bolig,	hva man kan gjøre på en liten kveld.	0
og livets bølger falt til ro,	ved lampens skinn den sjeldne gjest	0
Og alt hva for falske brødre han døyet	den kval kan hende ei ringest var.	0
Din skalle ble et prektig askebeger	er at din skalle ikke knustes av en totenslæger!	1
Kom! ber han ham; men dagen snart er omme.	at jeg fornemme kan ennu en gang	0
dine følelser edle 	begge er verdig	0
bortover bakken.	og blåner.	0
På gløttbotnfiske med pigglodd og snor	når flyndren du spidder, du ser den så stor	1
de fjerne skoger blå.	å tenke på.	1
Av askens frynser velder de opp	knuppenes glinsende bryster.	0
de klare kirkeklokkers klang,	Til slutning svevde over vang	1
Slik hever de hender med blomster i	og lovenes håndhever vis-à-vis!	1
med stoffet norsk i sjelen og i drakten	en bom for tyske, danske disipliner!	0
Olivernes kroner suser dets navn,	speiler Kaystros' skinnende sjøer;	0
Våk og bed nå hver især,	av taktfaste skritt og klirrende spyd:	0
mens folkets eie lagdes i ruiner.	Man visste godt hvor keiseren holdt til	0
Dens frekke talsmenn til taushet var bragt,	Iherdig de sådde sin vingede sæd	0
Og ingen har trøst	og bjergene ryster og revner.	0
Mørket sprenger jeg med fosforkammer,	smyger gjennom streder som en slange,	0
Men det var der ingen som visste.	han kom for å sige farvel.	0
Han hadde dem selv ved sitt eget bord.	senker seg dypt i hans hjertes grunn.	0
i den det ny får feste;	dog fred er ei det beste,	1
Så selger han fisken ved kai eller jekt,	som sprees og henges på tørken.	0
å møte dem han før betvang.	Å møte dem som gode frender,	0
Vinden vifter om de ranke tinder,	ser han, som en sky mot fjellets runding,	0
Du møter ei latter, du ser ingen dans	du følger ei kunstens langt viftende krans	1
En kamerat fra Rom fikk ropt hurra	da hånden raktes mot oss til goddag.	0
Og denne strøm av vemod og av fryd	som vekker jubel, eller salig sårer	0
som i broget prakt omspenner	alle aldre, alle stender.	1
en halvgal dåres bedrift  men på ny	av brokker og grus, av aske og kull,	0
O avsindig svermeri !	Rådets menn, hva synes dere?	1
lik stål og sang, her suser fri	Men der er håp: en slekt på ski!	1
og pilens gift forvandler godhets Gud	en englehånd med livets store under,	0
aldri slippe vil sin dyre skatt.	akk, nå mørkner det mot sorg og natt	1
Det regner fint fra en blågrå banke	på hule vegger i buktens kløfter.	0
taler Paulus: «La oss finne	vei til våre fjerne venner,	0
og splittet kvinnenes flokk med villhet	da var det ei lenger på fred å tenke.	0
myndig gjennom sløvet bringe;	går som dommens hvasse klinge	1
Som på vinger	halvt tilbage,	0
formæler seg med høstens modne druer.	fra øst til vest i solens gylne luer.	1
mens russerne kjøpte og knotet sin norsk,	Var pömorhandelen som handel mest,	0
' en seer fra Jerusalem,	fikk gjennomtrenge fremtids slør.	0
og vraker åndens nektar med en lov	om landets kraft når bare han er grov,	1
for den ganske jords befolkning,	som et tett, forhekset spinn,	0
skjønt alle lemmer enno synes lamme.	der kraftens spirer i det indre gror	0
Han er eldet, grånet, bøyet,	bak den skumle fengselsmur.	0
Hva under at jeg nå ble lykkelig og varm	den kjente hverdags hilsen, ynkelig og arm!	1
Husk jeg ruller over sunkne kontinenter,	Jeg er bølgen, jeg har lært å tie,	0
der lå kun en tysk admiral-fregatt	det var så tyst,	0
Se hennes smil imot den unge slusk	som står og venter!  Er de ektefeller?	0
som et teppe over sanden.	korset lyse over stranden.	1
Og gruven ved Dverberg med skinnende kull	Her ruller på endeløs øde grunn	0
den tijener som farer vill.	og lutres i prøvens ild.	1
til Bergen og så til den navngjetne strand	der vilde den djerve ved isbreen bo,	0
Blek og matt som et skjelvende siv	Henført hun flyktet fra trolldommens renker.	0
i Guds kraft han rustet står —	Etter ensomhetens år,	1
er i dypet der liten forandring !	Men selv midtvinters dag strømmer havdypet stilt,	0
Med bitter vilje, under trossig sang	har ættens unge fulgt sin opprørstrang	1
for å finne i mørket sitt lille krus:	mens jeg lå og lyttet til vindens brus	1
i vår gate, hvor alt før var grått!	var hverdagen slutt, og en sol danset frem	0
Dens frekke talsmenn til taushet var bragt,	brutt var for alltid svermerens makt.	1
Han prøver  kanskje hun er kåret:	enn vandringsmannen våget vente	0
snart ad jevne sletter, snart som fange	fra Tiberias til Det døde hav,	0
ei heller ærens ekeløv hans krans.	Men Pauli løp var ikke Istmens bane,	0
det ble da nådens budskap kom.	Men hvilken sollys helligdom	1
Mens de herjer skjærets sommer	full av fugleskarn og dun.	0
Og la de mektige stammer gro	sin eviggrønne topp.	0
Akk, Pet er selv! — En ynk å se.	Akk, klippen selv, den faste tind,	0
til byens øst,	en mager trøst!	1
Da raser vilt den hele skare,	sin ferd han fryktløs vil forklare	1
varmen-	sol i din sjel, så barmen	1
den truer talg av trebokk, som du vet.	Ja, selv om jeg går skoa av meg	0
bør leiligheten nyttes til et ord:	og den skal også her bli smukk og stor!	1
ti jeg har meget folk i denne stad.	Å for et budskap! Denne trette kriger	0
da er den tapt for mengdens blikk og ører.	er den en kime først hvis vekst er sen;	0
Det gjelder å fare når skiftet er nær,	Men så kan du vente at styrken tar til	0
Da klang det lurer, da ble det en støy	det hørtes et skrik: Det er Oskoreien!	0
Kanhende det var da jeg vandret i drømme	med himmelsk og helt uutgrundelig makt.	0
vår evighets symboler	er bare hvitt og sort.	0
Stemmer summer:	Andre brummer:	1
strømmer mot synet og prøver iherdig	Hvor stort det er! Jeg blir aldri ferdig.	1
aldri har bøyd seg for Bøygen og sveket,	Å ensomme hjerte, som aldri har veket	1
Hvorfor fly elskovens luft,	«Jeg elsker deg!»	0
I buktens siv	på sorte båer skarv og sorgfull lom,	0
da døptes vi av hennes mektige ånd,	som siden oss maner inntil vår død.	0
og mente francen sikkert vilde deise	adskillig lenger ned enn hva der sis.	0
Med barnet ved sin hånd han går	Så falt hans ord  og moren bever	0
som var den en leketøyjolle.	og snurret den rundt som en bolle	1
O min sønn! Du skjønne, rene!	da meg himlen vilde smykke	0
Ble du ei i syrerslaget	Hvilken grunn har du til klage?	1
Muslinger besetter dem, og fiske går med bud	til ormene, som langsomt sin kropp i dyndet vrider	0
Her losser de fangsten fra havet på land	og passe sin plikt og sin næring.	0
Bestandig har mitt hjerte fred	og høsten bare død og dom	0
og så blott henne dagen lang.	en alfesang.	1
ble til en blomst med blader av krystall.	den blomstrer nå i mørkets tomme hal	1
Det gamle slagur hakker	nedover mørkets bakker:	1
dog brente rundt i kretsen alterflammen,	og høyt og fritt seg hvelvet støvets hjem.	0
så er det sjelden mer enn en.	Og da der ikke fins kloakk,	0
Vil idag ditt sinn du vende	vil ditt liv jeg ennu spare,	0
viljen og drømmen skal martres til døde	Høyt i den frysende eters øde	1
dyp, saktmodig, mild og god,	ordner, bygger og befester,	0
gikk ut og inn hos dem som bror,	og delte deres sorg og gleder,	0
kanskje den finner der sin grav.	er over hav;	1
«Profet!» hveser presten med en grimase,	finnes ennå rester av denne rase?	1
det er spurlag på dette, på hint og på den,	deg krydder til møljen på maten!	0
Men lengre borte skråner det opp	en langsomt dreiende kropp 	1
et villhetssurrogat der man er tam,	en søndagsrus der man er hverdagslam	1
alene for en håndfull jøder,	begrenses ei av hav og fjell.	0
Jesabel sin husbond finner,	mellom hoffets danserinner	1
hans lys skal den mildt berøre.»	ditt hjertes begjæring vil høre.	1
så snehvit som flesket på svoren ?	hvor så du på hjellen så herlig en fisk,	0
at vi ære lettest finner	ved at låne hans.	0
Du ble den store sfinks, hvis gåde næret	din lengsels puls, ditt varme hjertes slag.	0
og vender seg bort. De ser ham forsvinne	Rives må alle de gamle bånd.	0
gjennom natten, tett og sort,	braker gjennom slottets hall,	0
i dommerskrud og med gylne snorer,	og bøyer seg dypt for de fattige fanger,	0
Vi vil knuse, vi vil knekke	har han felt sin egen dom.	0
slik har det fra urtid gravet	i grunnen på tidens hus.	0
med dommen over deres eget hode.	som dere ved deres forherdelse forsmår,	0
Videre livstoget drager,	finnes på forreste baner,	0
Den har sin glans om fjellet lagt	i skyene seg vever!	0
Apostelen nå står som mål	og tier.  Akk, ti verre dog	0
Ak nei, der er mer	av englen som nå stiger ned for at kjempe.	0
Hvem er han, hvis tanker og vilje og bud	og villig jeg døptes med smertens dåp.	0
i det lave kammer inn. 	sorgtung hu mot lys og dag:	0
Hvor englene fyller den gryende dag	med strålende lyse vingeslag	1
vår ungdoms sterke lengsler skjelver;	hvor lurer klang og murer falt,	0
Se somrens liv	på sorte båer skarv og sorgfull lom,	0
bortover bakken.	Men himlen dem håner;	0
For fred er det beste  som alle vet.	ble løftet på bølger av kjærlighet!	1
der hvor ditt herlige navn og din ære	av dine frelste velsignet skal være!	1
Og heltens velde, barnets renhet	så begge underfullt forskjønner	0
stadig har de tvende venner.	Barnabas av jødisk blod,	0
er broen som bærer all himmelens hær	på vei til den mørke muld.	0
Hva før kun syntes rov og ran	nå viste seg som mål og plan	1
Mot norden, over tåkens brem,	med kam av villeste kontur!	0
ånder vinden ut hans siste ord	Paulus tier. — Som et dempet kor	1
så snehvit som flesket på svoren ?	Den snor seg i vannet som ålen så frisk,	0
Paulus dog i byens gater	blir ei av bevoktning krenket.	0
Og humler stod tæt som en syngende sky	og vevet sin tone inn i luften;	0
med rettens spir, den strenge dommer.	for ham, min mester. Snart han kommer	1
da kastes må også den myrvåte torv	før antendt i ovnen den varmer!	0
her er emne for mange slags virke.	da de løftet og satte sin drøm under tak	0
Sangen forener, idet den fortoner	kamp-lystne krefter i samstemmig trang:	0
Til sin gamle følgesvenn,	taler Paulus: «La oss finne	0
nei — med skjenk og store gaver	hvis et øyeblikk du tror	0
med ditt vårvær, din sommer, din sol over sky,	Farvel da, du fagre, med gjensyn på ny	1
sitt grep i gjerdet: Jeg må inn og spise 	og ikke kan jeg komme ut mer heller,	0
sitter han på markens sten,	Alle gikk — undtagen én.	1
skal den rustes ut  og gjøde	at til slavers gunst jeg beiler.	0
Når nå jeg ditt budskap bringer,	så må dødens slag jeg smake,	0
La meg nå din forblive,	lær meg ditt ord og bud !	0
og gal av lykke styrter seg i rosens ild!	flyr smilet ditt: en snehvit sommerfugl, som vill	1
men dagene går som en grønn karusell	da ønsker jeg ingen tilbake igjen,	0
om Herrens gaver på mitt bord.	og talte disse dunkle ord	1
høyt over alfarvegens kjør og mynder	Hver ånd som modig seg en bane slår	0
og alle piker må henge i	For klokken nærmer seg stygt mot ni,	1
«Så falt hans ord.	Den Jehova du frykter er en slukket stjerne,	0
ja rent som strøket med mahognibeis!	og luggen vilter, ingen oljesveis,	1
Og bestefar, fuglen i buret,	som drømte om skogen ved gry	0
da fordum du splittet syrernes leir?	hvem skjenket deg gledens skummende vin?	0
Trafikk-konstablen — den Urias	går rundt og rundt som en snurrebass!	1
bølgene favnes i blinde,	solen og månen drysser	0
i dådløs ferd mot glemsels grav.	hvis higen kun er matt og ringe,	0
Slik også for Paulus. Dag til dag	dagene flyter isammen smukt	0
straks konge-bud dens frihet skygde,	som, truet, høy mot Island svang	0
ved denne drikk på sagnets grunn.	ditt bryst i en begeistret stund,	1
hvormed du ville dra all verden til ditt bryst	og vende all dens plage til herlighet og lyst.	1
mitt hele sinn.»	ti tonen har fået mitt hele sinn,	1
Han vet forvisst, nå er hans dagverk endt,	Hva hast har vel en frekk forbryters dom? 	0
hans blikk som lynglimt gjennom mulmet trenger,	hans verge trylles om til tusen lanser,	0
Montro, hva de ville svare,	Christie og de gamle kare,	1
foruten ham selv den telles i tre.	hans samlede styrke er ringe å se,	1
med vann i hodet og med tre i armen.	ved denne grove nasjonale bram	0
Er paktens bue sønderrevet,	Det var ham tidt, som sjelebod	0
helt ren alene er hjemmets luft.	ti derfra kom det, og dit det føre!	0
Men demringen i helteættens sinn,	og kraftens ledighet blant jordens gaver,	0
og enn i pietismens tåker	med tente lys ved altret våker:	1
Det er forbi med rituelle dyder.	«Opplysning, frihet, fedreland!» så lyder	1
Skip har vi bygget, og veier og lokomotiv.	Under vår skapende hånd, på vårt seirende: Bliv! 	1
og veldige vinger ned fra rommene falt	ville reise seg ogg å innover jorden!	0
ranker seg opp om din skulder,	fanger i roser ditt navn,	0
dyp, saktmodig, mild og god,	alle svakes støttestav. 	0
Her laftet han kirker med tårn over tak,	Den kongstanken skal som hans merkesten stå,	0
Ti så det lød til mine fedre:	Du folkets førere skal hedre.»	1
er verset som alle har lest og kan,	Ondt ofte lider den fiskermann,	1
En slekt på film, en slekt på ski	vår ild, vårt lys mot stormens vær?	0
elskeren som elsker uten grense,	aldri fastholdt og dog evig bunden,	0
Rådet venter. Lytter spent.	Gikk da ikke samme morgen	0
sin røde munn!	Han tok den, og han fikk den, og han rødmede som hun.	1
om den kjæres hals, mens savnet brenner, -	akk, nå mørkner det mot sorg og natt	0
opad strandens skråning breder	seg Neapel, gledens trone;	0
Her har jeg alt å lenges til,	og lenges — det er alt jeg vil.	1
Da tar han seg sammen — river seg fri	han løper de undrende svenner forbi,	1
Men inne i fjæren all vinteren lang	de jodler og hilser hver morgen på ny	0
Den korte sommer er snart et sagn	på disse klipper hvor jeg tar agn	1
min sang jeg den svømmende vier.	Der svinger han sporden og spiler sin finn,	0
når fjellbekken glir som et brudeslør	til markenes helning — hvert husbygg se	0
De kliner seg sammen i sitt eget kvarter.	der finner dere plass. dere er visst trette.	0
står hans hu til strid og farer,	dvelte Paulus glad og gjerne.	0
men dagene går som en grønn karusell	i ring om sin egen akse.	0
Men i skjul av grønne greiner	Gudmund Torsen gikk aleine,	1
et vær av vekst og mildhet og evig sammenheng.	Som dalen her, så slekten; ja, her kan livet si,	0
Men her skal alle stryke løs på gigen,	i selvbedraget ved ikarisk stigen!	1
Og en dag i byens streder	seg et selsomt rykte spreder.	1
«Peterl Du er klippen sterk.	det er ei naturens verk.	1
Nå fører vi somren i by	Og byen blir likefrem ny	1
nei, der vi bor er det nok altfor tett	vårt avkom gror.	0
De kom, de kom! Bedekket med medaljer	og Frankrike,  ført an med horn og tuba.	0
drog til sæters flittig nok;	uten Gudmund Storebingen.	0
Hva høres ei av skryt fra klippemuren	da maies klippen ut med broket smykke,	0
Med strengeleik i skulderband,	hans bilde liknet like godt	0
Hans prester bærer frihets fane;	De tror som vi  og vet forvisst	0
har våren kanhende et evig hjem	i disse åser og skjær,	0
åpenbaret Herrens tanker,	demre gjennom korsets gåde.	0
som synger at du er den rike beboer	og alt blir et eneste kor,	0
dog var du mennesk et, hvis hjerte bevet	Vel var du ørnen der mot himlen svevet	1
svermeren deroppe stå,	han hvis navn forklaret klang	0
til det menes at fangsten er inne.	så fanger du både i pose og sekk,	0
Så gir han med ydmyge ord tilkjenne	Plogen og åket må tjene som brenne.	1
med ull til å spinne og veve.	de vidner og viser det gavmilde land	0
av finnstykket skjæres den fineste rav,	da takes den også med garnet.	0
og med sine egne sår	glemmer han han hates, klandres,	0
Hver markens blomst, hvert skogens blad,	alt var en sang, et toneveld,	0
Skal vi så til Liitzen flytte,	slepe farfars gamle stol	0
Det som er lettkjøpt her, er lett å gjette.	den åndens karantene man vil sette.	1
som deler med sin sultne bror	sitt eget blod for slektens gjeld!	0
og fuglene synger så lokkende toner,	det suser så søtt fra cypressenes kroner,	1
For svarte jorden lå så dypt der nede	Og der gikk mennesker i sorg og glede	1
Bak verdens vinter vi øyner en vår	Da signes jordlivets ringe kår,	1
i det bleke lys, som brast.	ligger tanken dypt gjort fast;	1
nomadens telt, kasernen i vår by.	Fra Metropolis' babelsbygg mot sky	1
Så en gammel lov bestemmer,	av Jehova selv forkynt.	0
Kom, du gud-fødte folke-ånd, aner du har	vi som fost-brødre skar,	1
som burde hatt i gull	sitt navn blant kjempe-kull.	1
Et sydens fiske: nesten lek	med latter, skrik og mye prek.	1
Din sjø  ditt skinnende, rene øye,	som speilet din drott, den himmelhøye —	1
som løver kan temme, som stolthet kan bøye,	Fra hjerte til hjerte, fra øye til øye	1
Så kald på døden når du vil hvile,	er du til stjernernes fred gått inn!	0
jorden ryster, berget skaker,	klipper løsner, buldrer, braker.	1
står under klippen med Prometevs' kvaler	og først når verden om hans storhet taler,	1
merket av den vei han gikk,	lykken i den milde luen.	0
han kjente ei hevn, ham tynget ei brøden.	Hans ansikt strålte i fredens glans,	0
O liv, du vil! du vil!	Og så på ny det hinker	0
at engen så frodig i liene stod	hvor hester på markene pløyer !	0
«Velan, jeg går. Ti komme deres blod	skal komme hedningenes ætt tilgode.»	0
som har sett mange slekters fall.	med steinhard vegg og kolsvart sperr.	0
Intet så mørkt som din fjord, når den fyker	intet så mildt som din strand, dine øer,	0
ei levnet ham tid til å granske motiver.	følger ham skygger av tause døde,	0
Jeg eier kun lengsler — kun uklare tanker,	Kan ikke bryte de stengende skranker. 	1
Der føres de inn i det mørkeste hull,	Av tretthet og smerte de synker omkull.	1
det samme angestskrik fra rik og arm,	og byen kvæler under lys og larm	1
og Herrens straffedom hans tross forbrenner.	før selv han løser sine fangers rep,	0
i sin egen spunne strikke,	så hans djevlevesen vrenges.	0
fra nå bære tungen i bind!	med tskjetyrje, pjat og adjin.	1
kLiivsalige ord, som så mektig forlener	For selsom likhet! — Guds blødende lam,	0
er der latter og dans;	men siden vet jeg lite, om hun fletter sin krans !	1
hvor meget av jorda han piner.	men minnes må lenken til hus og til bank,	0
Da stod våre klipper i aftenglød	Her er svikfull grunn!	0
vi elsker evnen som tør herde	sitt stål som din, hver tid på-ferde,	1
En mil ifra Stamsund, så går'! du i Hol	hvor Offerkamsøya er blodig av sol	1
rimektig, bronsefarvet, skinnende i solens brann,	stiger frem Atene med sitt herskerspir mot sky,	0
men ingen aftensang når dagen svinner!	å skue vidt om land hva tiden lider,	0
av granittklippens kne.	står det ensomme tre.	1
og hisser til opprør den hele stat.	Med sindig kløkt sine renker de spinner,	0
Nå kan andre i sitt ansikts sved gå hen og sveise plater	er du konge for en dag og kan bestille hva du vil.	0
når landet rammes av et øyekast,	og vinner kornet av sin egen aker.	0
skal hjerte i fryd seg fornøye!	Æren er Guds i det høye!	1
for seg og sitt alene brenner.	av fordums lærere og frender,	1
begynner han dagsverkets evige kamp,	Men halvtimen etter med redskap og stamp	1
til fredløs ferd står David rede.	«kald er natten. Ta den på.	0
Han er død! Som sverd det flenger	Jesu moders sjelerot,	0
Litli-litli-lu !	kanskje du kan vise veien.	0
«Jehova er idag den samme	I rosers flor, i somrens skrud	0
og tror deg selv forskutt.	nå er din styrke brutt.	1
og ingen vet hvorhen den jager.	så seiler en havørn på vingen så bred,	0
visner gress og skjøre blommer;	full av fugleskarn og dun.	0
medens tusen hese stemmer	skriker: «Sten ham! Vi er fri!»	0
De onde hadde mer enn de gode,	Jeg har gjestet hver avkrok på vår klode,	1
Akk, han kom forsilde. Graven	hadde håpets lysskjær slukket.	0
Han hilser meg dypt, da han får	og kaller meg: høyedle herre!	0
som spant ham så fast i sitt spinn?	besnærende drømme	0
Bygdene skifter; men ta dem i bolk:	sangfulle dyp, men bølgeaktig':	0
og en sky om bergets tinder	Da fra skyens mørke gjemme	0
I troen på Guds gode ord	vi samles nå ved dekket bord.	1
Ett dog Elisa især ei glemmer:	hvor Baal ble styrtet og Herren hevnet.	0
Solen som synker bak åsenes brem,	luktende bylder på uttæret lem!	1
og dets stavn er rettet ut fra land,	hvor de mellom dagens tunge minner	0
at fra evighet hadde den flydd,	som fra dypet av alt hadde lytt.	1
Dens skjønnhet og prakt mellom yndige øer	boltrer seg svanenes talløse mylder.	0
synker mot sin venninne,	sitt kyss over hav og hei	0
alle dens fugler gynger,	vet ikke, hva de synger: 	1
Nei — de lysende bedrifter	intet lykkens solslott bygger	0
hilses overalt med glede	i den store broderkjede.	1
klarere endda enn sandbuktens vann,	fjernere endda enn barndommens land!	1
Så griper de ta sin stav på ny	og vandrer frimodig fra by til by	1
Men nå var det langt over santkehans,	ingen blomster fant's;	1
vil ei sin besøkelsestid forstå.	for vellyst og vinning sin sjel den selger.	0
ål1les liv er Guds behag!	Alle folk skal se dens komme,	0
Slett intet gull du fikk i arv;	men se, du fikk min fiende-flokk!	0
han hvis troskap intet kuet,	Vennen, i hvis øye luet	1
og kysser med andakt hans blod i støvet; 	ydmykt hans pris gjennom trærnes kroner.	0
Sorte kapere med ville gaster,	alt det liv som seg på dekket rørte,	0
og setter til sjøs mens hun hutrer.	og skubber av jollen de isnende flak,	0
og norske nymfer i de norske kipper!	selvstendighet skal være all vår trakten,	0
Denne drøm som natten avler og som dagen slår ihjel	enn et liv, hvor andre eier selv ens hjerte og ens sjel.	1
På toftene mennenes rad	Som fisk i maskenes spinn	0
Og Rom blir drukken av de kristnes blod.	Så slippes koblet løs, og byttet jages,	0
Var her en kamp, en snev av våpengny,	Men no har troppen ordentlig et ry	1
og på bjelkene dødstyste katter	de ruger over fremmede skatter.	1
Gjemt bak sengens draperier	kongens mørke sjel befrier.	1
Hans viden var en ormett prakt,	kun mugne tankers dødningdrakt.	1
Ei noen vennehånd hans byrde letter,	den kvides vekt som tynger på hans sinn.	0
Alene på det øde fjell	jeg drømte bort min sommerkveld.	1
hver en byrde, hver en smerte,	gled som gylne strålestrømmer,	0
Når jeg skriver en bok, «er den halv som jeg selv»;	er kun dunst av mitt innbilske selv.	0
hvormed du grunne vil din trønder-heder?	Trondheim trumfer man de andre steder	1
så har vi da skarven så svartmalt han står	Men rundt omkring båten går alke og and,	0
Men mennesket bytter guder og jorden skifter kår	og Tjømøs gamle eker måtte falle.	0
Jeg speidet fra den øde hei	den rune jeg vil riste inn.	0
Og dagene gikk. — Men hastig tok slutt	Da Paulus en dag, sterk og beveget,	0
et kvad der egoistens stemme runger	hver gang sin egen kontrafei han favner,	0
Så sadler hun også før leken tar slutt	sin eventyrhest for sin hvite gutt,	1
For borgerlig ro ble ham aldri forundt.	en fisker, en snekker, en smed!	0
han tegner Messias, hans liv, hans død —	I levende trekk, med henførelsens glød	1
«Dette vann ei tørst kan slukke;	jeg for dere vil opplukke.»	1
Han føler Guds kraft, han hører Guds svar;	Ved ordet, det sterke: Din vilje skje	0
men vaskes ut i tidevann	med lysglimt over fjærens sand	1
som med hule, bleke kinner	sansesløst i lystens ild.	0
Og utenriks-statsråden var også glad	at freden var innført så fort og bra	1
er begravet	i det bleke lys, som brast.	0
Hvor godt at la sine tanker fare,	det er at kjenne guds vilje vare,	1
Vi vil midt for folkets øyne	vise frem hans hovne løgne,	1
Ve dere! Blinde veiledere, ve!	og dem dere leder, med forsett dere blinder,	0
og her er vår hånd og vårt ord:	vi slutter en kjede om jord!	1
da peker klippens fé mot hedenold,	mens lysets frøkorn lover mange fold,	1
Det suser med fugl over sjøen	de står som en sky over øen,	1
dette hav er uendeligheten,	vinker fra evigheten . 	1
men ingen aftensang når dagen svinner!	og løfte nuet mellom kraftens minner!	1
Og lenger i landet fra snebre og fonn	har fossene strammet med sølvhvite bånd	1
og løfte nuet mellom kraftens minner!	kun tåkedotter som langs åsen glider,	0
